Keywords,area,sqft,bedroom,bath,name,property type,completion year,no of floors,Furnishing Status,Number of Carpark,Floor Range,Deposit,Tenant Preference,PropertyID,Squash Court,Lift,Near KTM/LRT,Railway Station,Air-Cond,Security,Swimming Pool,School,Minimart,Cooking Allowed,Mall,Parking,Washing Machine,Gymnasium,Playground,Multipurpose hall,Park,Jogging Track,Tennis Court,Internet,Sauna,Barbeque area,area_sqft_numeric,cleaned_location,powerbi_location,State_Province,Country
RM 650 per month,Setapak,128,,,"PV20 Condo - Variety Room for Rent , Open Intake Now",,,,Not Stated,,Not Stated,,"Male, Female, Couple",112970199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 700 per month,Kepong,128,,,United Point – Variety Room for rent,,,,Not Stated,,Not Stated,,"Male, Couple",112970192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 7,000 per month",Cheras,"4,420",,,Cheras Taman Segar Factory For Rent,Warehouse / Factory,,,Not Stated,,Not Stated,,Female,112970232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4420,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,200 per month",MiNest Residence,"1,050",4,3,"【Ready Move In】 The Minest Residence @ Sentul, 1050sf 4r3b, 2 Master",,,,Not Stated,,Not Stated,,"Male, Female, Couple",112563143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,100 per month",Residensi KepongMas,802,3,2,Below Market Prime Area Well Kept Basic Unit Nearby Mrt With Parking,,,,Not Stated,,Not Stated,,Male,112970299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,Kepong,"Kepong, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 4,300 per month",Sungai Besi,"2,600",5,4,"Lake Fields, Sungai Besi (3 Storey FULLY FURNISH)",,,,Not Stated,,Not Stated,,"Male, Female",112803519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 4,700 per month",Kuchai Lama,"3,200",,,"Kuchai Lama, Taman Lien Hoe (2 Storey Shop 1600sf Face Main Road)",Shop lot,,,Not Stated,10,Not Stated,9400,Male,112820346,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,3200,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 550 per month,Setapak,"1,250",,,Furnished Room for Couple/ Female /Male Tenant – Heritage Condo KL,,,,Not Stated,,Not Stated,,Male,112970276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 850 per month,PPR Desa Rejang,650,3,2,PPR Desa Rejang Setapak 3R2B P/F Setapak Jaya Kuala Lumpur,,,,Not Stated,,Not Stated,,Female,112571054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,650,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,100 per month",Keramat,900,3,2,UNTUK DISEWA FLAT BUKIT KERAMAT Jalan Gurney,,,,Not Stated,,Not Stated,,Male,112970022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,900,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
