Keywords,area,sqft,bedroom,bath,name,property type,completion year,no of floors,Furnishing Status,Number of Carpark,Floor Range,Deposit,Tenant Preference,PropertyID,Squash Court,Lift,Near KTM/LRT,Railway Station,Air-Cond,Security,Swimming Pool,School,Minimart,Cooking Allowed,Mall,Parking,Washing Machine,Gymnasium,Playground,Multipurpose hall,Park,Jogging Track,Tennis Court,Internet,Sauna,Barbeque area,area_sqft_numeric,cleaned_location,powerbi_location,State_Province,Country
"RM 1,599 per month",Flexus Signature Suites,583,1,1,"Flexus Soho [Furnished] Publika, Kepong , Sentul",Service Residence,2018,20,Fully Furnished,,Medium,3500,Male,112909285,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,0,583,Jalan Kuching,"Jalan Kuching, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,400 per month",Paraiso Residence @ The Earth,960,3,2,[ Below Market House ] Paraiso residense bukit jalil 3 bedroom,Condominium,2020,39,Fully Furnished,2,Not Stated,,"Male, Female",112916612,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,960,Bukit Jalil,"Bukit Jalil, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,700 per month",M Arisa,878,3,2,Sentul Brand New Ready Move In Condo,Service Residence,2024,55,Fully Furnished,,Medium,,"Male, Couple",112903064,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,878,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,500 per month",The Nest @ Jln Klang Lama,300,1,1,The nest 2 old Klang road studio for rent,Condominium,2019,36,Fully Furnished,1,Not Stated,,"Male, Female",112976365,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,300,Old Klang Road,"Old Klang Road, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,899 per month",Paraiso Residence @ The Earth,960,3,2,[Below Market ] Paraiso residense bukit jalil 3 bedroom for rent,Condominium,2020,39,Partially Furnished,2,Not Stated,,Female,112874368,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,960,Bukit Jalil,"Bukit Jalil, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,399 per month",Duta Park Residences,980,2,2,[Nice House ] Duta park Jalan Kuching 2 bedroom for rent,Service Residence,2024,58,Fully Furnished,1,Not Stated,,"Male, Female, Couple",112842672,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,980,KL City,"KL City, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 800 per month,Kepong,120,,,Unio Residence Master bedroom MRT Kepong Baru Female Malay Only,Condo / Services residence / Penthouse / Townhouse,2020,,Fully Furnished,1,Medium,2295,"Male, Couple",110730917,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,120,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 700 per month,Kepong,100,,,Unio Residence Kepong Near LRT Room With Balcony Female Malay Only,Condo / Services residence / Penthouse / Townhouse,2020,,Fully Furnished,2,Medium,,"Male, Female, Couple",110730845,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,100,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,700 per month",Rafflesia Sentul Condominium,901,3,2,"Rafflesia Condominium, Sentul Kuala Lumpur LRT Walking Distance",Condominium,2016,21,Partially Furnished,,Medium,6336,Female,113001447,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,901,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,900 per month",Widuri Impian,970,3,2,Rumah Cantik‼️Unit Sewa Fully Furnished di Widuri Impian‼️,Condominium,2008,21,Fully Furnished,1,Not Stated,,Male,113001446,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,970,Desa Petaling,"Desa Petaling, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,900 per month",Bayu Andaman,"1,000",3,2,Bawa baju je masuk‼️Unit Sewa Fully Furnished di Bayu Andaman‼️,Apartment,2020,31,Fully Furnished,,Not Stated,,Male,113001442,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1000,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,350 per month",Arena Green,732,2,1,Arena Green Bukit Jalil for rent,Condominium,2000,11,Partially Furnished,1,High,4725,"Male, Female",113001454,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,732,Bukit Jalil,"Bukit Jalil, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 4,500 per month",Sentral Suites @ KL Sentral,"1,025",3,3,Spacious w Fully Furnished unit @ Sentral Suites for Rent ‼️,Service Residence,2022,43,Fully Furnished,,Not Stated,,"Male, Couple",113001450,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1025,KL Sentral,"KL Sentral, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,600 per month",Rafflesia Sentul Condominium,"1,011",3,2,"Rafflesia Condominium, Sentul Kuala Lumpur LRT Walking Distance",Condominium,2016,21,Not Furnished,,Medium,5978,Female,113001425,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1011,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,500 per month",Villa Wangsamas,"1,500",3,2,Lower Ground Unit w Yard @ Villa Wangsamas for Rent‼️,Condominium,2010,20,Fully Furnished,,Low,,Female,112783862,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,1500,Wangsa Maju,"Wangsa Maju, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,350 per month",Platinum Lake PV 21,900,2,2,PV21 condo 2 rooms 2 bathrooms BASIC FURNISHED nice unit 1 car park,Condominium,2016,28,Not Furnished,1,Medium,,"Male, Female",113001428,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,900,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,900 per month",Platinum Lake PV 20,"1,333",4,2,Fully furnished 4room Pv20 for Rent,Condominium,2014,25,Fully Furnished,1,Medium,7000,"Male, Female",112762245,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1333,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 950 per month,PPR Seri Semarak,650,3,2,【❤️Sewa Segera❤️PPR Desa Rejang Setapak KL 3room2bathroom for rent ❤️,Flat,18,,Partially Furnished,,Medium,3325,"Male, Female",111535275,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,650,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 3,500 per month",Kepong,"1,100",,,[ Hot-Demand & Strategic Location ] Kepong Link Factory For Rent!,Warehouse / Factory,,,Not Stated,,Not Stated,,Female,113001388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,400 per month",Sky Awani 2 Residence,800,3,2,Sentul sky awani 2 nice ready unit for rent,Condominium,2020,35,Not Furnished,1,Medium,,"Male, Couple",113001362,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,800,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,300 per month",Sky Awani 2 Residence,800,3,2,Sentul sky awani 2 basic furnished for rent,Condominium,2020,35,Not Furnished,1,Medium,,Male,113001379,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,800,Sentul,"Sentul, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,000 per month",M City,700,1,2,"M-City studio, Partly furnished,High floor , nice view",Service Residence,2016,36,Partially Furnished,1,High,,Male,113001348,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,700,KL City,"KL City, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,000 per month",Wangsa Maju,200,,,[Female je] 0 depo Luxury room at The Hamilton 300m to LRT Sri rampai,Condo / Services residence / Penthouse / Townhouse,2020,,Fully Furnished,1,Medium,,Female,113001319,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,200,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,200 per month",Residensi Kuchaimas,850,3,2,"Residensi Kuchaimas, Kuchai Lama, Kuala Lumpur",Apartment,2021,49,Fully Furnished,,Not Stated,,"Male, Female, Couple",113001342,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,850,Kuchai Lama,"Kuchai Lama, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 3,000 per month",Duta Park Residences,858,2,2,[FULLY FURNISHED]Duta Park Residences Jalan Kuching 2 bedroom for Rent,Service Residence,2024,58,Fully Furnished,1,Medium,7500,"Male, Couple",113001336,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,858,KL City,"KL City, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 3,500 per month",Kepong,"1,100",,,Ground Floor Link Factory at Kepong Entrepreneurs Park near MRT,Warehouse / Factory,,,Not Stated,1,Not Stated,7000,"Male, Female, Couple",113001283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,400 per month",Maytower,400,1,1,"Maytower, Fully furnished,studio, Astro,Well kept",Service Residence,2007,32,Fully Furnished,,Medium,,"Male, Female, Couple",112729292,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,400,KL City,"KL City, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 500 per month,Setapak,110,,,PV15 (Platinum Lake PV 15) Setapak Single Room For Rent,Condo / Services residence / Penthouse / Townhouse,,,Fully Furnished,,Medium,,"Male, Female",113001238,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,110,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,000 per month",Lake City @ KL North,671,2,2,Baron Residence @ Lake City Kepong Taman Wahyu [F/FURNISH] 2R1B,Service Residence,2024,,Fully Furnished,,Not Stated,5000,"Male, Couple",113001266,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,671,Kepong,"Kepong, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 4,800 per month",Nadi Bangsar Service Residence,"1,000",2,2,Nadi Bangsar @ Kuala Lumpur | Prime Location | Fully Furnished,Service Residence,2017,38,Fully Furnished,1,Medium,,"Male, Couple",113001232,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1000,Bangsar,"Bangsar, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,250 per month",Bougainvilla Apartment (Segambut),"1,200",3,2,Bougainvilla Apartment Segambut 3R2B BASIC  Prima Pelangi Sri Sinar,Apartment,2007,13,Not Furnished,1,Not Stated,3125,"Male, Female",110700043,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1200,Mont Kiara,"Mont Kiara, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,000 per month",Residensi Aman Jalil,850,3,2,"Residensi Aman Jalil, Bukit Jalil, Kuala Lumpur",Apartment,2022,42,Fully Furnished,,Not Stated,,Female,113001221,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,850,Bukit Jalil,"Bukit Jalil, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,800 per month",Ampang,"1,400",,,"[2nd Floor Shop Office] Ampang 太子园 Taman Muda, Same Row with Alliance",Shop lot,,,Not Stated,,Not Stated,,"Male, Female",113001211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,000 per month",Savanna Condominium,"1,212",4,2,Savanna Condo 1212sf 4-BR Furnished High floor Bukit Jalil KL,Condominium,2008,22,Fully Furnished,3,High,7000,"Male, Couple",112500106,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,0,1212,Bukit Jalil,"Bukit Jalil, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 850 per month,Setapak,120,,,PV16 (Platinum Lake PV 16) Setapak Medium Room For Rent,Condo / Services residence / Penthouse / Townhouse,,,Fully Furnished,,Medium,,"Male, Female, Couple",113001171,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,120,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,200 per month",Arena Green,860,3,2,Areana Green Bukit Jalil Sewa,Condominium,2000,11,Not Furnished,1,Not Stated,2400,"Male, Female, Couple",113001206,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,860,Bukit Jalil,"Bukit Jalil, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,200 per month",Residensi Metro Kepong,802,3,2,Metro Kepong For Rent Near Mrt Kepong Batucave Selayang Kuala Lumpur,Apartment,2023,36,Not Furnished,1,Medium,3500,"Male, Female",113001164,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,802,Kepong,"Kepong, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 650 per month,Setapak,"1,059",,,KL Traders Square condo MEDIUM ROOM FULLY FURNISHED with AC and Wi-FI,Condo / Services residence / Penthouse / Townhouse,,,Fully Furnished,1,Medium,,"Male, Female",111618785,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1059,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,000 per month",Vue Residences,600,2,1,Vue Residence @ Titiwangsa 2 rooms FULLY FURNISHED with AC nice unit,Condominium,2013,24,Fully Furnished,1,Medium,,Female,112127048,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,600,Titiwangsa,"Titiwangsa, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,350 per month",Titiwangsa Sentral,"1,200",3,2,Titiwangsa Sentral condo @ KL 3 rooms FULLY FURNSIHED FULL AC big unit,Condominium,2011,38,Fully Furnished,1,Medium,,Male,112562494,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1200,Titiwangsa,"Titiwangsa, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,500 per month",Zen Suites @ Zetapark,"1,300",3,4,Zetapark condo 3 rooms 4 bathrooms FULLY FURNISHED 2 car park big unit,Condominium,2013,12,Fully Furnished,2,Medium,,Female,110448126,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1300,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,300 per month",Enesta,805,3,2,Residensi Enesta Kepong MRT Jinjang Segambut Kuala Lumpur Batucave,Service Residence,2021,34,Not Furnished,1,Medium,3375,"Male, Female",112547582,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,805,Kepong,"Kepong, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,900 per month",KL Traders Square Residences,850,3,2,KL Traders Square condo 3 rooms FULLY FURNISHED nice unit 1 Car park,Condominium,2019,38,Fully Furnished,1,Medium,,"Male, Female, Couple",111356871,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,850,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,200 per month",Menara Alpha,"1,000",2,2,Near LRT Wangsa Maju🔥2 rooms 1 carpark @ Menara Alpha @ Wangsa Maju,Condominium,2000,18,Partially Furnished,1,Not Stated,,Male,113001107,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,1000,Wangsa Maju,"Wangsa Maju, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,400 per month",Danau Murni,721,3,2,"Danau Murni, Taman Desa, Kuala Lumpur 3r2b1cp partially furnished",Condominium,2005,18,Partially Furnished,,Medium,,"Male, Couple",113001105,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,721,Taman Desa,"Taman Desa, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,750 per month",Setapak Green,"1,200",3,2,Setapak Green condo 3 rooms BASIC FURNISHED FULL AC 2x Car Park,Condominium,2014,26,Partially Furnished,2,Medium,,"Male, Female, Couple",112702360,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1200,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,800 per month",Setapak Ria Condominium,"1,190",3,2,Setapak Ria For Rent | 1190 sqft | Newly Renovated | Nice Unit,Condominium,1994,24,Partially Furnished,1,Low,,"Male, Couple",113001099,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1190,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 900 per month,Wangsa Maju,100,,,[Female je] 0 depo Luxury room at The Hamilton 300m to LRT Sri rampai,Condo / Services residence / Penthouse / Townhouse,2020,,Fully Furnished,2,Medium,,Male,108551477,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,100,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,500 per month",Jalan Ipoh,400,,,"Wisma Yap Ka, Studio Office For Let",Office space,,,Not Stated,,Not Stated,7500,Female,113001057,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,400,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 6,000 per month",Seri Maya,"3,200",5,6,SERI MAYA HuGE GROUND FLOOR|3200SQFT| WALkiNg to LRT👣|Fully furnished✅,Condominium,2007,20,Fully Furnished,2,Low,,"Male, Female",112968969,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,3200,Setiawangsa,"Setiawangsa, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,500 per month",Residensi Desa Satumas,850,3,2,Desa SatuMas Residensi Endlot 3R2B1CP 850sf P/Furnished Taman Desa KL,Condominium,2021,43,Partially Furnished,1,High,,"Male, Female",113001013,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,850,Taman Desa,"Taman Desa, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 5,500 per month",Seputeh,"5,700",4,3,"Seputeh, Kuala Lumpur, Mid Valley, Taman Desa (Banglow 5700sf)",Bungalow House,,,Not Furnished,,Not Stated,13750,"Male, Female",113001061,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,5700,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,800 per month",OUG Parklane,950,3,2,Oug parklane D1 Black unit High floor(End lot)  For Rent,Service Residence,2015,31,Fully Furnished,1,High,,"Male, Female, Couple",112813166,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,950,OUG,"OUG, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,450 per month",Apartment Dahlia (Setapak),950,3,2,Dahlia Apartment Setapak 3R2B P/F Sri Rampai Setapak Jaya Kuala Lumpur,Apartment,18,,Partially Furnished,1,Not Stated,3625,"Male, Female, Couple",112563058,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,950,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 750 per month,Cheras,120,,,The Annex @ Medan Connaught Cheras Female Master Room for rent,Condo / Services residence / Penthouse / Townhouse,,,Fully Furnished,,Medium,,Female,112826262,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,1,120,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 700 per month,Cheras,300,,,"Middle Room, Angkasa Condominium @ Taman Connaught",Condo / Services residence / Penthouse / Townhouse,,,Fully Furnished,,Not Stated,670,"Male, Female",111516211,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,300,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 900 per month,Cheras,200,,,"Master room for 𝐅𝐞𝐦𝐚𝐥𝐞, Maxim Residence Taman Connaught",Condo / Services residence / Penthouse / Townhouse,,,Fully Furnished,,Not Stated,,Female,108315633,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,200,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 750 per month,Cheras,100,,,"Balcony Room for 𝗙𝗲𝗺𝗮𝗹𝗲, Maxim Residence MRT Taman Connaught",Condo / Services residence / Penthouse / Townhouse,,,Fully Furnished,,Not Stated,,Female,112735278,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,0,100,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 5,000 per month",Agile Bukit Bintang,850,2,2,For rent Agile bukit bintang KL,Service Residence,2022,61,Fully Furnished,,Medium,5000,"Male, Female",113000999,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,850,Bukit Bintang,"Bukit Bintang, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 3,800 per month",Pandan Perdana,"1,400",,,Cheras Pandan Perdana Ground Floor Shop to Let,Shop lot,,,Not Stated,,Not Stated,7600,"Male, Female, Couple",113000985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 1,100 per month",Cheras,600,,,Fully furnished office with lift at Cheras business centre,Office space,,,Not Stated,,Not Stated,,"Male, Female",113000980,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 4,000 per month",Cheras,"1,360",,,Ground Floor Shoplot (20*68sf) Cerapu Cheras Batu 3 1/4 for rent,Shop lot,,,Not Stated,,Not Stated,,Male,111691973,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1360,Kuala Lumpur,"Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
"RM 2,200 per month",The Havre @ Bukit Jalil,"1,023",3,2,The Havre @ Bukit Jalil [P/FURNISH] 3R2B2CP Pavilion 2 Aurora Place,Condominium,2020,40,Partially Furnished,2,Not Stated,5500,Male,113000891,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1023,Bukit Jalil,"Bukit Jalil, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
RM 847 per month,Flat Taman Melati Blok A,560,2,1,TINGKAT 2 Flat Taman Melati MURAH+EASY ACCESS+BERSIH&CANTIK Near LRT,Flat,5,,Not Furnished,,Not Stated,,"Male, Female, Couple",113000887,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,560,Setapak,"Setapak, Wilayah Persekutuan Kuala Lumpur, Malaysia",Wilayah Persekutuan Kuala Lumpur,Malaysia
